impl,dim,batch_size,seq_len,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,status
graph,64,16,60,2,4,3.0706,4.5018,7.5724,283.4,success
graph,64,16,60,4,4,4.2602,4.6663,8.9264,284.7,success
graph,64,16,60,6,4,5.4114,5.1418,10.5532,32.5,success
graph,64,16,60,8,4,6.7001,6.3490,13.0491,33.9,success
graph,64,16,60,10,4,7.9490,7.8781,15.8272,35.3,success
graph,128,16,60,2,4,3.0052,5.1493,8.1545,302.5,success
graph,128,16,60,4,4,4.2471,4.8280,9.0750,306.0,success
graph,128,16,60,6,4,5.4926,5.0840,10.5765,55.7,success
graph,128,16,60,8,4,6.7130,6.3550,13.0681,59.6,success
graph,128,16,60,10,4,7.8970,7.8300,15.7270,63.4,success
graph,256,16,60,2,4,3.2546,4.2910,7.5456,341.4,success
graph,256,16,60,4,4,4.2126,3.6654,7.8780,96.6,success
graph,256,16,60,6,4,5.3595,5.0453,10.4048,106.8,success
graph,256,16,60,8,4,6.6822,6.3205,13.0027,117.1,success
graph,256,16,60,10,4,7.9220,7.8696,15.7916,127.4,success
graph,512,16,60,2,4,2.8564,4.3483,7.2047,427.2,success
graph,512,16,60,4,4,4.1395,3.6676,7.8071,205.1,success
graph,512,16,60,6,4,5.4240,5.0876,10.5116,239.1,success
graph,512,16,60,8,4,6.7867,6.3234,13.1102,273.1,success
graph,512,16,60,10,4,7.8975,7.8200,15.7176,306.6,success
graph,1024,16,60,2,4,3.2511,4.3422,7.5934,641.0,success
graph,1024,16,60,4,4,4.1868,3.6792,7.8660,504.3,success
graph,1024,16,60,6,4,5.3902,5.0754,10.4656,623.1,success
graph,1024,16,60,8,4,6.6288,6.2885,12.9173,741.8,success
graph,1024,16,60,10,4,7.9947,7.9294,15.9241,860.6,success
graph,512,16,60,6,4,4.0604,3.2200,7.2805,239.1,success
graph,512,16,70,6,4,5.4029,5.8050,11.2080,499.1,success
graph,512,16,80,6,4,5.3880,5.7827,11.1706,503.8,success
graph,512,16,90,6,4,5.3877,5.8272,11.2149,506.3,success
graph,512,16,100,6,4,5.3745,5.8443,11.2188,510.0,success
graph,512,4,60,6,4,5.3587,6.7157,12.0744,473.8,success
graph,512,8,60,6,4,5.4145,6.8982,12.3127,480.4,success
graph,512,16,60,6,4,4.1242,3.2257,7.3499,239.1,success
graph,512,32,60,6,4,4.1040,3.2441,7.3481,266.2,success
graph,512,64,60,6,4,5.4140,10.4331,15.8471,574.6,success
