impl,dim,n_layers,n_heads,compile_s,exec_s,total_s,peak_gpu_MB,status
eager,64,2,4,0.0000,0.2617,0.2617,29.3,success
graph,64,2,4,3.3811,8.0040,11.3851,286.1,success
eager,64,4,4,0.0000,0.0802,0.0802,29.9,success
graph,64,4,4,3.4930,7.2234,10.7164,286.0,success
eager,64,6,4,0.0000,0.1122,0.1122,30.4,success
graph,64,6,4,4.8991,7.8711,12.7701,30.6,success
eager,64,8,4,0.0000,0.1439,0.1439,31.0,success
graph,64,8,4,6.3434,10.2961,16.6394,31.1,success
eager,64,9,4,0.0000,0.1609,0.1609,31.2,success
graph,64,9,4,7.3786,12.0188,19.3974,274.6,success
eager,128,2,4,0.0000,0.0507,0.0507,38.5,success
graph,128,2,4,2.3653,7.7733,10.1386,299.0,success
eager,128,4,4,0.0000,0.0783,0.0783,40.2,success
graph,128,4,4,3.7430,6.7745,10.5175,283.2,success
eager,128,6,4,0.0000,0.1132,0.1132,41.5,success
graph,128,6,4,5.1501,8.1881,13.3382,41.4,success
eager,128,8,4,0.0000,0.1454,0.1454,43.1,success
graph,128,8,4,7.5142,10.0253,17.5395,42.9,success
eager,128,9,4,0.0000,0.1589,0.1589,43.9,success
graph,128,9,4,8.5693,11.6039,20.1732,287.0,success
eager,256,2,4,0.0000,0.0617,0.0617,57.4,success
graph,256,2,4,2.9178,6.7142,9.6320,325.7,success
eager,256,4,4,0.0000,0.0792,0.0792,61.9,success
graph,256,4,4,4.3065,5.5088,9.8153,61.8,success
eager,256,6,4,0.0000,0.1116,0.1116,66.3,success
graph,256,6,4,5.5917,7.6836,13.2752,66.3,success
eager,256,8,4,0.0000,0.1448,0.1448,70.7,success
graph,256,8,4,7.0796,9.9155,16.9951,70.7,success
eager,256,9,4,0.0000,0.1633,0.1633,72.9,success
graph,256,9,4,7.9682,11.1082,19.0764,72.9,success
eager,512,2,4,0.0000,0.0495,0.0495,100.4,success
graph,512,2,4,4.1274,6.8536,10.9810,385.1,success
eager,512,4,4,0.0000,0.0811,0.0811,116.3,success
graph,512,4,4,4.8145,5.4058,10.2203,115.7,success
eager,512,6,4,0.0000,0.1137,0.1137,132.1,success
graph,512,6,4,6.1623,7.6637,13.8260,131.1,success
eager,512,8,4,0.0000,0.1499,0.1499,148.3,success
graph,512,8,4,7.7169,9.9636,17.6805,147.6,success
eager,512,9,4,0.0000,0.1656,0.1656,155.4,success
graph,512,9,4,8.5638,11.1166,19.6804,154.6,success
eager,1024,2,4,0.0000,0.0517,0.0517,201.1,success
graph,1024,2,4,4.7487,6.8302,11.5790,520.7,success
eager,1024,4,4,0.0000,0.0833,0.0833,258.1,success
graph,1024,4,4,5.3351,5.4918,10.8269,260.6,success
eager,1024,6,4,0.0000,0.1165,0.1165,312.3,success
graph,1024,6,4,7.0548,7.6574,14.7122,313.8,success
eager,1024,8,4,0.0000,0.1483,0.1483,366.4,success
graph,1024,8,4,8.1703,9.9322,18.1025,368.5,success
eager,1024,9,4,0.0000,0.1669,0.1669,394.9,success
graph,1024,9,4,9.0639,11.2109,20.2748,395.2,success
